32	sp|P44169|Y1375_HAEIN	24.224	322	216	6	4	323	1	296	2.75e-23	100
179	sp|P19705|T1SE_ECOLX	42.647	612	288	17	40	612	7	594	4.04e-129	395
179	sp|P19704|T1SA_ECOLX	43.607	610	280	18	40	612	7	589	2.71e-127	390
179	sp|P71344|T1SI_HAEIN	32.099	162	98	5	451	608	33	186	5.16e-15	80.9
181	sp|Q07736|T1RA_ECOLX	57.876	838	314	9	1	836	4	804	0.0	976
181	sp|Q47281|T1RE_ECOLX	57.788	841	313	10	1	836	4	807	0.0	958
181	sp|P08956|T1RK_ECOLI	27.939	587	300	22	57	560	297	843	5.41e-38	157
181	sp|P33919|RADD_ECOLI	23.649	444	235	19	167	586	6	369	7.15e-13	75.9
216	sp|Q58577|Y1178_METJA	30.055	366	192	15	1	336	4	335	3.00e-28	115
216	sp|Q81ST7|BSHA_BACAN	29.097	299	168	10	63	335	77	357	2.77e-22	100
216	sp|P9WMZ3|PIMB_MYCTU	28.689	244	148	6	113	336	130	367	3.07e-21	97.1
216	sp|P9WMZ2|PIMB_MYCTO	28.689	244	148	6	113	336	130	367	3.07e-21	97.1
216	sp|O32272|TUAC_BACSU	25.313	399	230	11	1	348	1	382	8.19e-21	95.9
216	sp|Q59002|Y1607_METJA	28.523	298	181	10	67	340	84	373	1.74e-18	89.4
216	sp|Q8NTA6|MSHA_CORGL	30.147	272	160	13	103	352	144	407	1.36e-17	86.7
216	sp|A4QB40|MSHA_CORGB	30.147	272	160	13	103	352	144	407	1.36e-17	86.7
216	sp|A7TZT2|MFPS_AGRFC	26.400	250	160	6	106	336	177	421	9.99e-17	84.3
216	sp|Q8FSH1|MSHA_COREF	29.588	267	156	12	106	349	147	404	3.83e-16	82.4
216	sp|Q94BX4|PIGA_ARATH	27.090	299	196	10	64	351	87	374	4.55e-16	82.4
216	sp|A0JZ09|MSHA_ARTS2	26.518	313	179	12	61	336	93	391	5.09e-16	82.0
216	sp|Q65CC7|KANE_STRKN	30.435	161	104	4	167	326	207	360	2.87e-15	79.7
216	sp|A4FQ08|MSHA_SACEN	29.817	218	131	6	124	322	177	391	6.87e-15	79.0
216	sp|Q4JSW2|MSHA_CORJK	28.352	261	161	9	110	349	150	405	1.11e-14	78.2
216	sp|P87172|GPI3_SCHPO	31.472	197	124	7	145	338	165	353	1.46e-14	77.8
216	sp|P42982|BSHA_BACSU	29.682	283	155	14	71	327	86	350	1.84e-14	77.4
216	sp|P9WMY7|MSHA_MYCTU	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|P9WMY6|MSHA_MYCTO	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|C6DT68|MSHA_MYCTK	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|A5WJJ8|MSHA_MYCTF	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|A5TZL4|MSHA_MYCTA	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|C1AKG4|MSHA_MYCBT	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|A1KFW0|MSHA_MYCBP	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|P64708|MSHA_MYCBO	30.556	216	136	6	147	352	235	446	2.49e-14	77.4
216	sp|B8HCF8|MSHA_PSECP	28.797	316	174	14	56	333	87	389	2.97e-14	77.0
216	sp|A0R043|PIMB_MYCS2	33.333	144	88	2	177	315	201	341	5.13e-14	75.9
216	sp|Q47KS6|MSHA_THEFY	26.498	317	180	12	74	351	122	424	1.23e-13	75.1
216	sp|B1VEI4|MSHA_CORU7	29.167	216	128	7	147	343	190	399	1.65e-13	74.7
216	sp|C7R101|MSHA_JONDD	27.119	236	149	8	133	349	183	414	1.90e-13	74.3
216	sp|C8XA09|MSHA_NAKMY	29.317	249	151	9	125	354	193	435	1.92e-13	74.7
216	sp|C3PK12|MSHA_CORA7	26.627	338	184	15	51	347	88	402	1.95e-13	74.3
216	sp|D1BD84|MSHA_SANKS	32.065	184	112	6	174	349	238	416	2.31e-13	74.3
216	sp|A8LZG1|MSHA_SALAI	31.532	222	116	9	147	341	211	423	3.67e-13	73.6
216	sp|C4LLD6|MSHA_CORK4	28.302	265	154	11	110	348	178	432	4.48e-13	73.6
216	sp|Q9HTC0|WBPZ_PSEAE	27.888	251	141	10	112	343	127	356	7.61e-13	72.4
216	sp|D3Q051|MSHA_STANL	28.390	236	146	8	130	347	194	424	7.93e-13	72.8
216	sp|Q6NJL3|MSHA_CORDI	33.728	169	98	7	161	323	222	382	8.22e-13	72.4
216	sp|Q9L1I4|Y2592_STRCO	36.196	163	95	5	165	326	207	361	8.99e-13	73.2
216	sp|B2HQV2|MSHA_MYCMM	29.630	216	138	6	147	352	225	436	1.06e-12	72.4
